topic,top_words, label
1,"women, violence, gender, sexual, men",gender-based violence
17,"reading, skills, literacy, comprehension, awareness",literacy
18,"price, demand, competition, games, market",market
43,"intervention, sex, interventions, prevention, trial",sex-intervencion
44,"income, tax, economy, policy, optimal",income-tax
66,"rules, sharing, revenue, french, forward",rules
84,"time, power, estimates, models, estimation",model-estimation
148,"contracts, stem, liquidity, net, minimum",contracts
151,"perceived, user, acceptance, constructs, intent",user-perception
167,"energy, climate change, emissions, scenarios, sensitive",climate-change
168,"tourism, heritage, tourists, tourist, compromise",tourism
198,"service, quality, satisfaction, customer, commitment",service-quality
209,"mathematics, achieving, risky, valid, reliable",mathematics-validity
214,"incentives, mechanism, scheme, disputes, settlement",incentive-mechanisms
223,"features, word, words, vocabulary, cell",language-features
241,"job, employee, turnover, job satisfaction, professionals",job-satisfaction
252,"south, purpose, practical, moderating, korean",south-korean
254,"learning, teachers, education, teacher, student",learning
267,"children, child, family, home, families",families
279,"financial, credit, debt, monetary, bank",financial-sector